id,autor_anio,titulo,poblacion_datos,metodo_principal,aporte_revision,revista
1,Alluri et al. (2026),Fairness-aware K-means clustering in digital mental health for higher education students,Estudiantes de educación superior del Healthy Minds Network,K-means estándar; K-means justo; bootstrap; pruebas estadísticas; double machine learning,Segmentación de perfiles de salud mental con equidad algorítmica,JAMIA Open
2,Cuevas Caravaca et al. (2025),Academic burnout and emotional exhaustion among university students: The role of physical exercise,789 universitarios de Educación Primaria y Enfermería,Correlación; t de Student; regresión lineal múltiple,Ejercicio físico como posible factor protector entre burnout y cansancio emocional,SPORT TK
3,Mudło-Głagolska y Larionow (2025),Passion for studying and its relationships with academic burnout and mental health,Tres muestras de estudiantes universitarios de primer año,Correlaciones; SEM longitudinal; análisis de red bayesiano,Rol protector de la pasión armoniosa frente a agotamiento y desenganche,Sustainability
4,Bojorque et al. (2025),Stress Factors in Higher Education: A Data Analysis Case,Ocho años de datos institucionales de una universidad ecuatoriana,Minería de datos; análisis exploratorio de datos,Analítica institucional para detectar estrés y anomalías académicas,Data
5,Rodrigues Matos et al. (2024),"Relationships between Student Burnout, Mental Health, Study Habits and Sleep",401 estudiantes en transición hacia educación superior,Estadística descriptiva; análisis de redes,"Relación entre exaustión, sueño, tiempo de estudio, ansiedad y desenganche",Pensando Psicología
6,Rodríguez Muñoz y Antino (2021),El uso del teléfono móvil en clase y su efecto sobre el engagement académico y el agotamiento,45 universitarios y 450 observaciones diarias,Diseño de diario; análisis multinivel,Smartphone en clase predice menor engagement y mayor agotamiento diario,European Journal of Education and Psychology
