ods,nombre,descripcion,meta
ODS 3,Salud y bienestar,Promueve bienestar psicológico y detección temprana de trastornos emocionales en universitarios.,Meta 3.4: salud mental y bienestar
ODS 4,Educación de calidad,Busca reducir deserción y mejorar rendimiento académico mediante apoyo basado en datos.,Meta 4.4: competencias técnicas y educación superior
ODS 9,"Industria, innovación e infraestructura",Aplica Ciencia de Datos y modelos predictivos para resolver problemas sociales complejos.,Meta 9.5: investigación científica e innovación
